claimId,userId,contractId,policyType,firstName,lastName,profession,phone,email,postalAddress,incidentType,incidentDate,incidentTime,incidentLocation,incidentDescription,damages,thirdPartyInvolved,supportingFilesCount,label,indemnity,isCompatible,isDuplicate
1,24,76,automobile,Corinne,Delannoy,Chauffeur,0140419198,patrick06@example.com,"42, boulevard Duval",incendie,2024-12-22,08:50,Sainte Gillesdan,Incendie dans une maison à Charpentier,Bijoux volés,True,0,suspicieux,0,False,False
2,24,89,voyage,Robert,Maillot,Enseignant,0698769756,renee99@example.com,"80, boulevard Jourdan",maladie,2024-12-11,00:05,RouxVille,Inondation à Sainte Anaïsnec,Pare-chocs endommagé,True,1,suspicieux,0,True,False
3,26,91,voyage,William,Girard,Chauffeur,0290002470,thomas26@example.net,"8, chemin Sabine Fabre",vol,2025-06-05,13:23,Auger,Inondation à Morel,Murs et sol endommagés,False,0,suspicieux,0,False,False
4,25,31,automobile,Théophile,Bonneau,Ingénieur,+33 (0)3 27 32 92 43,carrearnaude@example.net,"1, boulevard Martine Hubert",incendie,2024-08-04,10:39,Berthelot,Vol d’objets à Dos Santos,Murs et sol endommagés,True,2,suspicieux,0,False,False
5,12,18,habitation,Susan,Guillet,Commerçant,+33 (0)5 17 80 17 34,ydupuis@example.net,"51, avenue Adélaïde Regnier",vol,2025-03-14,12:06,NicolasVille,Inondation à DuvalBourg,Frais médicaux,False,2,valide,3551,True,False
6,44,2,responsabilité civile,Thibault,Leduc,Ingénieur,+33 4 44 22 97 27,nperret@example.org,"1, rue de Bodin",maladie,2025-04-05,05:16,Legrand,Maladie grave diagnostiquée,Bijoux volés,False,1,suspicieux,0,False,False
7,7,33,responsabilité civile,Émile,Guillaume,Médecin,+33 (0)5 33 81 43 87,le-gallfrancois@example.net,"88, rue de Lebrun",maladie,2024-11-08,19:16,Langloisdan,Collision à Vincentboeuf,Pare-chocs endommagé,True,1,suspicieux,0,False,False
8,37,57,voyage,Michel,Faivre,Enseignant,06 30 11 51 81,kda-silva@example.com,"13, chemin Robin",incendie,2025-02-18,00:26,Guillot-sur-Bruneau,Vol d’objets à Saint Martin,Frais médicaux,False,0,suspicieux,0,False,False
9,38,34,professionnelle,Zoé,Joubert,Chauffeur,+33 2 97 02 93 97,costagenevieve@example.net,"728, avenue de Brunet",vol,2025-03-08,07:31,Perrinboeuf,Collision à Leleu,Frais médicaux,True,0,suspicieux,0,False,False
10,48,31,transport,Céline,Chevallier,Ingénieur,+33 3 68 15 06 18,xcaron@example.com,"3, avenue de Gimenez",accident,2024-08-04,11:45,MathieuVille,Collision à Legendre-sur-Maillard,Pare-chocs endommagé,False,2,suspicieux,0,False,False
11,33,58,professionnelle,Timothée,Buisson,Chauffeur,+33 (0)7 94 87 78 51,camusadele@example.org,"5, avenue Anaïs Devaux",dégât des eaux,2025-03-16,17:15,Blot,Inondation à Lebreton,Pare-chocs endommagé,False,3,suspicieux,0,False,False
12,14,29,professionnelle,Arthur,Voisin,Médecin,0540047628,didierlaurence@example.org,"20, chemin de Arnaud",dégât des eaux,2024-12-03,02:05,Sainte Chantal,Incident non précisé,Dommages divers,False,1,suspicieux,0,False,False
13,3,97,voyage,Olivier,Leblanc,Ingénieur,0253086072,bergerfrederique@example.net,"38, boulevard Menard",incendie,2025-03-17,20:21,Hamon,Inondation à Arnaud,Mobilier brûlé,True,2,suspicieux,0,False,False
14,6,46,habitation,Henri,Perrier,Médecin,+33 2 46 60 46 36,denise69@example.com,"5, chemin Guillaume Rousset",vol,2024-08-23,22:35,Bertin,Collision à Vidal,Frais médicaux,True,0,suspicieux,0,True,False
15,12,16,santé,Stéphanie,Jacquot,Ingénieur,+33 3 68 78 46 02,leon42@example.org,"9, avenue Le Goff",dégât des eaux,2025-06-19,06:30,Dos Santosdan,Collision à Hoareau,Mobilier brûlé,False,2,suspicieux,0,False,False
16,1,100,professionnelle,Paulette,Julien,Enseignant,+33 (0)4 32 97 12 98,morenohenri@example.org,boulevard Roger Jacquet,vol,2025-05-09,06:27,Costa-les-Bains,Maladie grave diagnostiquée,Murs et sol endommagés,False,3,suspicieux,0,False,False
17,23,7,automobile,Joseph,Blanchet,Ingénieur,+33 6 99 12 85 29,emile50@example.net,"49, rue Pascal",incendie,2025-02-01,15:31,Le Gall,Vol d’objets à Leconte-sur-Pottier,Pare-chocs endommagé,True,0,suspicieux,0,False,False
18,32,91,transport,Hortense,Philippe,Ingénieur,0635030440,maryse01@example.com,"667, boulevard Claudine Gauthier",maladie,2025-05-29,12:51,Saint Maryse,Collision à GuilletBourg,Murs et sol endommagés,False,1,suspicieux,0,False,False
19,35,92,responsabilité civile,Philippine,Roche,Enseignant,0434882660,rossihonore@example.org,"86, boulevard Christiane Michaud",incendie,2025-02-16,19:51,Lévêque,Maladie grave diagnostiquée,Frais médicaux,False,0,suspicieux,0,False,False
20,49,46,responsabilité civile,Chantal,Chrétien,Enseignant,+33 (0)1 58 86 60 90,luce94@example.net,"82, boulevard Garcia",vol,2025-04-03,12:38,Dupuis,Inondation à Lenoir,Frais médicaux,True,1,suspicieux,0,False,False
21,20,8,voyage,Aurélie,Fernandez,Chauffeur,0223050743,clemence51@example.org,boulevard Henriette Vidal,incendie,2024-09-25,17:11,Saint Laurentdan,Vol d’objets à Saint Sabineboeuf,Frais médicaux,True,1,suspicieux,0,False,False
22,8,97,automobile,Roger,Texier,Enseignant,0385273235,nathchauveau@example.net,"10, chemin de Pascal",vol,2025-06-09,22:43,Gimenez-sur-Dumas,Collision à Besson,Pare-chocs endommagé,True,1,valide,867,True,False
23,11,12,habitation,Adrienne,Barre,Chauffeur,+33 5 61 01 82 46,xgonzalez@example.org,"35, boulevard Thérèse Sauvage",accident,2024-12-23,10:17,Sainte Eugène,Incendie dans une maison à Grosnec,Pare-chocs endommagé,True,1,suspicieux,0,False,False
24,41,72,santé,François,Pereira,Médecin,+33 2 97 84 98 62,thibaut05@example.com,"6, avenue Mace",accident,2025-02-25,12:48,Camusboeuf,Inondation à Fernandes,Mobilier brûlé,True,1,suspicieux,0,False,False
25,38,89,habitation,Aimée,Blanchet,Ingénieur,+33 4 80 12 15 22,clairebarre@example.org,"81, rue Blot",maladie,2025-03-16,16:51,Sainte HélèneVille,Incendie dans une maison à Dufour,Frais médicaux,False,3,suspicieux,0,False,False
26,37,1,automobile,Alain,Lefort,Enseignant,+33 6 31 37 18 22,valerie62@example.com,avenue Philippe,incendie,2024-11-24,16:38,GuilletVille,Inondation à Meunier,Bijoux volés,False,0,suspicieux,0,False,False
27,30,79,transport,Michelle,Faure,Enseignant,0444866024,veroniquemartinez@example.org,"913, rue Stéphanie Renaud",accident,2024-11-02,22:51,Dufour,Vol d’objets à Petitjean-sur-Faivre,Murs et sol endommagés,False,3,suspicieux,0,False,False
